station,period_start,period_end,albedo_hls,albedo_s2,coverage_hls,coverage_s2,difference_hls_minus_s2
Bananera,2021-01-01,2021-01-09,0.15942681664402994,0.19926508397181897,99.82011776108571,99.28874005455988,-0.03983826732778903
Bananera,2021-01-09,2021-01-17,0.16219439079260836,0.18399746773360473,99.82011776104834,99.28874005452272,-0.02180307694099637
Bananera,2021-01-17,2021-01-25,0.159064293191732,0.18172862515792906,99.82011776108571,99.28874005455988,-0.022664331966197077
Bananera,2021-01-25,2021-02-02,0.15355980545042133,0.1845320116365226,99.82011776108571,99.28874005455988,-0.030972206186101275
Bananera,2021-02-02,2021-02-10,0.1500056798671306,0.1728631944604121,99.82011776104834,99.28874005452272,-0.022857514593281503
Bananera,2021-02-10,2021-02-18,0.15747484383098811,0.18496889741331166,99.82011776104834,99.28874005452272,-0.02749405358232354
Bananera,2021-02-18,2021-02-26,0.16030652301473902,0.18406153817737916,99.82011776108571,99.28874005455988,-0.023755015162640142
Bananera,2021-02-26,2021-03-06,0.15659975133246504,0.1897696434647368,99.82011776104834,99.28874005452272,-0.033169892132271755
Bananera,2021-03-14,2021-03-22,0.1674159622321396,0.207823086800186,99.82011776104834,99.28874005452272,-0.040407124568046404
Bananera,2021-03-22,2021-03-30,0.1782227234388757,0.20804803002625363,99.82011776108571,99.28874005455988,-0.02982530658737792
Bananera,2021-04-07,2021-04-15,0.178813340751825,0.20145130147752494,99.82011776108571,99.28874005455988,-0.02263796072569993
Bananera,2021-04-23,2021-05-01,0.17737868495049255,0.20328123081147526,99.82011776104834,99.28874005452272,-0.0259025458609827
Bananera,2021-06-10,2021-06-18,0.1958361873327592,0.24039900722880705,89.3849556556647,99.28874005455988,-0.04456281989604785
Bananera,2021-06-26,2021-07-04,0.17174971067958417,0.1907733609050022,99.82011776108571,99.28874005455988,-0.01902365022541802
Bananera,2021-07-12,2021-07-20,0.18039953490608077,0.19831896552809833,99.82011776108571,99.28874005455988,-0.017919430622017563
Bananera,2021-07-20,2021-07-28,0.17177241541913393,0.20227864691927203,99.82011776104834,99.28874005452272,-0.030506231500138092
Bananera,2021-07-28,2021-08-05,0.17898197797424353,0.19827351032208673,99.06694204759086,99.28874005455988,-0.0192915323478432
Bananera,2021-11-17,2021-11-25,0.1626048135675222,0.18000997425302565,99.82011776108571,99.28874005455988,-0.017405160685503435
Bananera,2021-11-25,2021-12-03,0.16599797929814877,0.1806313180334945,99.82011776108571,99.28874005455988,-0.014633338735345724
Bananera,2021-12-03,2021-12-11,0.14797515844946185,0.1863468001319896,99.82011776108571,99.28874005455988,-0.03837164168252774
