source,ndvi_low_endmember,ndvi_high_endmember,n_observations,n_stations,period_start,period_end,ndvi_range
HLS,0.4163919555733753,0.9083625164465531,434,5,2021-01-01,2024-01-01,0.49197056087317775
S2,0.30906053079398427,0.9240448254540803,498,5,2021-01-01,2024-01-01,0.6149842946600961
