source,station,station_id,period_start,period_end,source_scale_m,NDVI_p02,NDVI_p05,NDVI_p10,NDVI_p90,NDVI_p95,NDVI_p98,nonwater_pixel_count,coverage_pct,products
HLS,Pastos limpios,00000000000000000000,2021-01-01,2021-01-09,30,0.4683328853321813,0.5102672305777379,0.5639511308100837,0.7901670224066719,0.8273659494305265,0.8647580721722754,288,100.0,6
HLS,Palma,00000000000000000001,2021-01-01,2021-01-09,30,0.6853281890767443,0.7252772057816372,0.7758339639481545,0.895441536308265,0.8974256169833439,0.9007773575000257,286,100.0,6
HLS,Bananera,00000000000000000002,2021-01-01,2021-01-09,30,0.5926936694186,0.7516512583341931,0.8028865435403446,0.9083024052947442,0.9083024052947442,0.911694012455478,287,100.0,6
HLS,Manglar,00000000000000000003,2021-01-01,2021-01-09,30,0.6332378247963747,0.6612344186359783,0.686694104622767,0.8541063991417088,0.8637739305989981,0.8738881592481551,272,100.0,6
HLS,Bosque seco,00000000000000000004,2021-01-01,2021-01-09,30,0.5848061136192156,0.6165460569865335,0.667104718235703,0.8696988192020181,0.8762065635124591,0.8836446691569295,271,100.0,6
HLS,Pastos limpios,00000000000000000000,2021-01-09,2021-01-17,30,0.49947589187559677,0.5140985527411558,0.542639283522149,0.7371571377815254,0.7586992280373935,0.7758620773501097,267,95.23043958909558,8
HLS,Palma,00000000000000000001,2021-01-09,2021-01-17,30,0.6948499688690913,0.7088262005523023,0.748738640566378,0.8817350182783835,0.8934246863375939,0.9017682496528712,286,100.0,8
HLS,Bananera,00000000000000000002,2021-01-09,2021-01-17,30,0.5283557749273489,0.6925439791237202,0.7597259630205652,0.8963361224676181,0.9002321038939953,0.9092517748313366,287,100.0,8
HLS,Bosque seco,00000000000000000004,2021-01-09,2021-01-17,30,0.5282499701371121,0.5574806091712624,0.6122391965127884,0.8662417247077439,0.8800999064393987,0.8895008109336331,271,100.0,8
HLS,Pastos limpios,00000000000000000000,2021-01-17,2021-01-25,30,0.43806170142028483,0.48987641871548154,0.5503560617663739,0.7846293441187677,0.8213270065073672,0.8549905824168751,288,100.0,6
HLS,Palma,00000000000000000001,2021-01-17,2021-01-25,30,0.6422613492010211,0.6878981016114263,0.7478728435297817,0.8875907991602587,0.8891803933627839,0.8914836949979206,286,100.0,6
HLS,Bananera,00000000000000000002,2021-01-17,2021-01-25,30,0.5621723605646662,0.7373534594783905,0.7637985657558432,0.9001653346769766,0.9045617837908173,0.9077988543432534,287,100.0,6
HLS,Manglar,00000000000000000003,2021-01-17,2021-01-25,30,0.6342669010878677,0.6516452066100452,0.6987696221599542,0.8560526129560229,0.8642344126944677,0.8719042898683197,272,100.0,6
HLS,Bosque seco,00000000000000000004,2021-01-17,2021-01-25,30,0.44132772067852466,0.48579613208319855,0.5344180113826503,0.8458267138404445,0.8567937992932398,0.8611589509233858,271,100.0,6
HLS,Pastos limpios,00000000000000000000,2021-01-25,2021-02-02,30,0.45922971917761496,0.5332348445569886,0.5750829241842607,0.774033754729366,0.8023869030082665,0.8315139922180328,288,100.0,8
HLS,Palma,00000000000000000001,2021-01-25,2021-02-02,30,0.6407960274246598,0.6769525461245088,0.7346041112984549,0.8780243036113713,0.8815324994052387,0.8838187893566024,286,100.0,8
HLS,Bananera,00000000000000000002,2021-01-25,2021-02-02,30,0.5790481514243662,0.6542384695534398,0.696692062659597,0.8851117985366793,0.8883302160302713,0.89154079759669,287,100.0,8
HLS,Manglar,00000000000000000003,2021-01-25,2021-02-02,30,0.6149171388613425,0.6318311253925248,0.6761731819110618,0.8392573023467239,0.8470192026662318,0.8555611481260409,272,100.0,8
HLS,Bosque seco,00000000000000000004,2021-01-25,2021-02-02,30,0.4115366188262118,0.46658852437212206,0.4967445216254862,0.82907408720858,0.8370544721450122,0.8433749102105639,271,100.0,8
HLS,Pastos limpios,00000000000000000000,2021-02-02,2021-02-10,30,0.45244840613149023,0.5265306139972455,0.5738112307886138,0.7861986960370468,0.8037551384536957,0.8321917858152028,288,100.0,6
HLS,Palma,00000000000000000001,2021-02-02,2021-02-10,30,0.6111599223443913,0.6678966997640146,0.7310731564199207,0.8755974651951763,0.8797995924862129,0.8845271348431382,286,100.0,6
HLS,Bananera,00000000000000000002,2021-02-02,2021-02-10,30,0.565421545027787,0.7275541767099921,0.7636545838750283,0.8923611222676598,0.89997835933686,0.89997835933686,287,100.0,6
HLS,Manglar,00000000000000000003,2021-02-02,2021-02-10,30,0.6197703530725611,0.6383747535110239,0.6754098256135361,0.844758898205951,0.8522180600730856,0.8600785512778121,272,100.0,6
HLS,Bosque seco,00000000000000000004,2021-02-02,2021-02-10,30,0.37260599722328336,0.41864449165839424,0.4589283262740092,0.8144810442231654,0.8265993388510745,0.8328482416327078,271,100.0,6
HLS,Pastos limpios,00000000000000000000,2021-02-10,2021-02-18,30,0.48055271641444347,0.530117784756678,0.563513159773691,0.7999571571660512,0.8096426939517445,0.8186554797898693,288,100.0,8
HLS,Palma,00000000000000000001,2021-02-10,2021-02-18,30,0.6168219971453593,0.6753677981689641,0.725043980819026,0.8699912689589058,0.8767752222888126,0.8833955003588958,286,100.0,8
HLS,Bananera,00000000000000000002,2021-02-10,2021-02-18,30,0.5171839083411911,0.7567633427794216,0.7793307974368484,0.88118363780397,0.8844370285617138,0.8889229594224788,287,100.0,8
HLS,Manglar,00000000000000000003,2021-02-10,2021-02-18,30,0.5874564411989853,0.6108843431495289,0.6396883619593725,0.8147778398566505,0.8290280446397574,0.8455531450978305,272,100.0,8
HLS,Bosque seco,00000000000000000004,2021-02-10,2021-02-18,30,0.3996818850940681,0.44335844743999764,0.4711831642443547,0.7833262847503601,0.8030174325305822,0.8167359082893335,271,100.0,8
HLS,Pastos limpios,00000000000000000000,2021-02-18,2021-02-26,30,0.5059858397829186,0.5351462315028058,0.5549316050187083,0.7943141403913948,0.8095602232786598,0.8224693248849999,288,100.0,6
HLS,Palma,00000000000000000001,2021-02-18,2021-02-26,30,0.6080863773054866,0.6387683449380863,0.7121683051086706,0.8621289512057495,0.8659434080757119,0.874151559959475,286,100.0,6
HLS,Bananera,00000000000000000002,2021-02-18,2021-02-26,30,0.5118781694372766,0.7402622928381626,0.7719819742810511,0.8811429911142215,0.8841741725529578,0.8930217749240831,287,100.0,6
HLS,Manglar,00000000000000000003,2021-02-18,2021-02-26,30,0.5633218691679414,0.6014525167518465,0.6140942364538757,0.823081859542231,0.8395355006584492,0.8520911264293466,272,100.0,6
HLS,Bosque seco,00000000000000000004,2021-02-18,2021-02-26,30,0.37782470620638536,0.4004013766638657,0.43466673043561377,0.7712916406912144,0.8028624524129222,0.8241342046319712,271,100.0,6
HLS,Pastos limpios,00000000000000000000,2021-02-26,2021-03-06,30,0.5017912445479036,0.5267817775293958,0.5495802187399487,0.7982807440835661,0.8119113741377537,0.8280876108186435,288,100.0,8
HLS,Palma,00000000000000000001,2021-02-26,2021-03-06,30,0.6064396134966352,0.6458684663985905,0.7034154776231327,0.8547109450148948,0.8607965108092124,0.8664901783335855,286,100.0,8
HLS,Bananera,00000000000000000002,2021-02-26,2021-03-06,30,0.5323709086327737,0.7348411926529174,0.7750942588272183,0.8845492462079284,0.8845492462079284,0.8921257628913075,287,100.0,8
HLS,Manglar,00000000000000000003,2021-02-26,2021-03-06,30,0.5138923678469786,0.5502657757859687,0.5675031308138997,0.804502008230987,0.8255195744648978,0.8390469475408839,272,100.0,8
HLS,Bosque seco,00000000000000000004,2021-02-26,2021-03-06,30,0.3540953663489492,0.3858681408078739,0.43087536895948686,0.7572069210879967,0.79017585347414,0.8097935231141546,271,100.0,8
HLS,Pastos limpios,00000000000000000000,2021-03-14,2021-03-22,30,0.520423914743235,0.5319776374768485,0.5525540295628864,0.8134040113651052,0.8361871150526488,0.8741306226077451,288,100.0,8
HLS,Palma,00000000000000000001,2021-03-14,2021-03-22,30,0.5146831838645121,0.6009389448915553,0.6544547939447662,0.8582590669271698,0.8667787416706302,0.8798241328062578,286,100.0,8
HLS,Bananera,00000000000000000002,2021-03-14,2021-03-22,30,0.587628869634105,0.7107243598245949,0.7754311011780661,0.8924710910721351,0.8962859339029594,0.9036493698378,287,100.0,8
