source,station,period_start,period_end,albedo_mean,albedo_coverage_pct
HLS,Pastos limpios,2021-01-01,2021-01-09,0.1453095024932581,99.82205471792155
HLS,Palma,2021-01-01,2021-01-09,0.1521912510702886,99.84364301676337
HLS,Bananera,2021-01-01,2021-01-09,0.15942681664402994,99.82011776108571
HLS,Manglar,2021-01-01,2021-01-09,0.1419705285030778,99.02027247771824
HLS,Bosque seco,2021-01-01,2021-01-09,0.14334359273708033,99.81994039772884
S2,Pastos limpios,2021-01-01,2021-01-09,0.1579225705977082,99.30446564787574
S2,Palma,2021-01-01,2021-01-09,0.18876939677166485,99.30422502237963
S2,Bananera,2021-01-01,2021-01-09,0.19926508397181897,99.28874005455988
S2,Manglar,2021-01-01,2021-01-09,0.17570004429766975,99.30135845474761
S2,Bosque seco,2021-01-01,2021-01-09,0.15342222428464414,99.30332326371534
HLS,Pastos limpios,2021-01-09,2021-01-17,0.17245259547447414,95.06098151471153
HLS,Palma,2021-01-09,2021-01-17,0.15374966246154828,99.84364301677358
HLS,Bananera,2021-01-09,2021-01-17,0.16219439079260836,99.82011776104834
HLS,Manglar,2021-01-09,2021-01-17,0.14242132780280176,30.562631886583258
HLS,Bosque seco,2021-01-09,2021-01-17,0.13858077616612632,99.81994039772884
S2,Pastos limpios,2021-01-09,2021-01-17,0.22530395138846976,99.30446564784161
S2,Palma,2021-01-09,2021-01-17,0.16115312749461658,99.30422502238977
S2,Bananera,2021-01-09,2021-01-17,0.18399746773360473,99.28874005452272
S2,Manglar,2021-01-09,2021-01-17,0.21660294757160029,98.43456680101511
S2,Bosque seco,2021-01-09,2021-01-17,0.16052339904762458,99.30332326371534
HLS,Pastos limpios,2021-01-17,2021-01-25,0.1546979772550933,99.82205471792155
HLS,Palma,2021-01-17,2021-01-25,0.15043920514678333,99.84364301676337
HLS,Bananera,2021-01-17,2021-01-25,0.159064293191732,99.82011776108571
HLS,Manglar,2021-01-17,2021-01-25,0.14365082828698686,99.02027247771824
HLS,Bosque seco,2021-01-17,2021-01-25,0.14380157099013988,99.81994039772884
S2,Pastos limpios,2021-01-17,2021-01-25,0.16929403944423926,99.30446564787574
S2,Palma,2021-01-17,2021-01-25,0.16540634017369307,99.30422502237963
S2,Bananera,2021-01-17,2021-01-25,0.18172862515792906,99.28874005455988
S2,Manglar,2021-01-17,2021-01-25,0.15534776004075498,99.30135845474761
S2,Bosque seco,2021-01-17,2021-01-25,0.15436730692710715,99.30332326371534
HLS,Pastos limpios,2021-01-25,2021-02-02,0.1593819120488342,99.82205471792155
HLS,Palma,2021-01-25,2021-02-02,0.14188025612103825,99.84364301676337
HLS,Bananera,2021-01-25,2021-02-02,0.15355980545042133,99.82011776108571
HLS,Manglar,2021-01-25,2021-02-02,0.14637518006371839,99.02027247771824
HLS,Bosque seco,2021-01-25,2021-02-02,0.1455210463448863,99.81994039772884
S2,Pastos limpios,2021-01-25,2021-02-02,0.1798096265656954,99.30446564787574
S2,Palma,2021-01-25,2021-02-02,0.16970123650618896,99.30422502237963
S2,Bananera,2021-01-25,2021-02-02,0.1845320116365226,99.28874005455988
S2,Manglar,2021-01-25,2021-02-02,0.1595927765197803,99.30135845474761
S2,Bosque seco,2021-01-25,2021-02-02,0.1604164693341562,99.30332326371534
HLS,Pastos limpios,2021-02-02,2021-02-10,0.16376093144166354,99.82205471788723
HLS,Palma,2021-02-02,2021-02-10,0.15117074149371035,99.84364301677358
HLS,Bananera,2021-02-02,2021-02-10,0.1500056798671306,99.82011776104834
HLS,Manglar,2021-02-02,2021-02-10,0.14832821359075848,99.02027247771824
HLS,Bosque seco,2021-02-02,2021-02-10,0.1480305342080095,99.81994039772884
S2,Pastos limpios,2021-02-02,2021-02-10,0.18173772711565767,99.30446564784161
S2,Palma,2021-02-02,2021-02-10,0.16809872584410995,99.30422502238977
S2,Bananera,2021-02-02,2021-02-10,0.1728631944604121,99.28874005452272
S2,Manglar,2021-02-02,2021-02-10,0.16236391106657433,99.30135845474761
S2,Bosque seco,2021-02-02,2021-02-10,0.16054630154961846,99.30332326371534
HLS,Pastos limpios,2021-02-10,2021-02-18,0.16912644514864944,99.82205471788723
HLS,Palma,2021-02-10,2021-02-18,0.15303251468060716,99.84364301677358
HLS,Bananera,2021-02-10,2021-02-18,0.15747484383098811,99.82011776104834
HLS,Manglar,2021-02-10,2021-02-18,0.14969619069312073,99.02027247771824
HLS,Bosque seco,2021-02-10,2021-02-18,0.15060987777019774,99.81994039772884
S2,Pastos limpios,2021-02-10,2021-02-18,0.19453389885339414,99.30446564784161
S2,Palma,2021-02-10,2021-02-18,0.17370501332116417,99.30422502238977
S2,Bananera,2021-02-10,2021-02-18,0.18496889741331166,99.28874005452272
S2,Manglar,2021-02-10,2021-02-18,0.16482836707923057,99.30135845474761
S2,Bosque seco,2021-02-10,2021-02-18,0.17467423915359723,99.30332326371534
HLS,Pastos limpios,2021-02-18,2021-02-26,0.17469993827526414,99.82205471792155
HLS,Palma,2021-02-18,2021-02-26,0.1594717157464789,99.84364301676337
HLS,Bananera,2021-02-18,2021-02-26,0.16030652301473902,99.82011776108571
HLS,Manglar,2021-02-18,2021-02-26,0.15589308832094054,99.02027247771824
HLS,Bosque seco,2021-02-18,2021-02-26,0.15471009995411372,99.81994039772884
S2,Pastos limpios,2021-02-18,2021-02-26,0.19275117090147995,99.30446564787574
S2,Palma,2021-02-18,2021-02-26,0.1773097743268858,99.30422502237963
S2,Bananera,2021-02-18,2021-02-26,0.18406153817737916,99.28874005455988
S2,Manglar,2021-02-18,2021-02-26,0.1690959065717797,99.30135845474761
S2,Bosque seco,2021-02-18,2021-02-26,0.1701323374131418,99.30332326371534
HLS,Pastos limpios,2021-02-26,2021-03-06,0.17829050783222153,99.82205471788723
HLS,Palma,2021-02-26,2021-03-06,0.15910644816398933,99.84364301677358
HLS,Bananera,2021-02-26,2021-03-06,0.15659975133246504,99.82011776104834
HLS,Manglar,2021-02-26,2021-03-06,0.1548324670618991,99.02027247771824
HLS,Bosque seco,2021-02-26,2021-03-06,0.15665850705340337,99.81994039772884
S2,Pastos limpios,2021-02-26,2021-03-06,0.20062626261538902,99.30446564784161
S2,Palma,2021-02-26,2021-03-06,0.1821191336205089,99.30422502238977
